FBtr0308651	X	100.000	222	0	0	190	411	647702	647923	1.33e-122	440
FBtr0308651	X	100.000	190	0	0	1	190	647448	647637	1.66e-103	377
FBtr0308651	X	95.238	21	1	0	33	53	13369026	13369046	2.9	34.2
FBtr0308651	X	100.000	16	0	0	315	330	4398548	4398563	11	32.2
FBtr0308651	X	100.000	16	0	0	139	154	5550526	5550511	11	32.2
FBtr0308651	X	100.000	16	0	0	9	24	13318675	13318660	11	32.2
FBtr0308651	X	100.000	16	0	0	227	242	19163050	19163035	11	32.2
FBtr0308651	X	100.000	16	0	0	312	327	22779534	22779549	11	32.2
FBtr0308651	X	100.000	15	0	0	31	45	1220567	1220553	45	30.2
FBtr0308651	X	100.000	15	0	0	32	46	1220869	1220855	45	30.2
FBtr0308651	X	100.000	15	0	0	32	46	2030754	2030768	45	30.2
FBtr0308651	X	100.000	15	0	0	253	267	2352872	2352858	45	30.2
FBtr0308651	X	100.000	15	0	0	317	331	3999608	3999622	45	30.2
FBtr0308651	X	100.000	15	0	0	236	250	4478172	4478158	45	30.2
FBtr0308651	X	100.000	15	0	0	37	51	7774484	7774498	45	30.2
FBtr0308651	X	100.000	15	0	0	242	256	9734452	9734466	45	30.2
FBtr0308651	X	100.000	15	0	0	32	46	10327698	10327684	45	30.2
FBtr0308651	X	100.000	15	0	0	318	332	11759636	11759650	45	30.2
FBtr0308651	X	100.000	15	0	0	32	46	12831178	12831164	45	30.2
FBtr0308651	X	100.000	15	0	0	35	49	13666923	13666909	45	30.2
FBtr0308651	X	91.304	23	2	0	5	27	15359598	15359576	45	30.2
FBtr0308651	X	100.000	15	0	0	317	331	16256733	16256719	45	30.2
FBtr0308651	X	94.737	19	1	0	2	20	18378285	18378267	45	30.2
FBtr0308651	X	100.000	15	0	0	33	47	18436687	18436673	45	30.2
FBtr0308651	X	94.737	19	1	0	195	213	19068705	19068687	45	30.2
FBtr0308651	X	100.000	15	0	0	32	46	19367321	19367335	45	30.2
FBtr0308651	X	100.000	15	0	0	137	151	20119405	20119391	45	30.2
